Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"AGUNBIADE PRIMARY SCHOOL, Shomolu",State owned, Shomolu,Nursery/Primary, agunbiadeprysch@lagosschoolsonline.com," 0803 722 9139,  0807 456 5649","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2533"",""Read more"")"
"AGUNTASOLO PRIMARY SCHOOL , Ijeshatedo",State owned,Surulere,Nursery/Primary, ," 0802 828 2536, 0815 909 2270","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2024"",""Read more"")"
"AHMAD MEMORIAL MUSLIM PRY SCHL, Okekoto  ",State owned,Agege,Nursery/Primary, ahmmusagege@lagosschoolsonline.com, 0802 460 6204,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/13"",""Read more"")"
"AHMADIYYA PRIMARY SCHOOL,  Iwaya",State owned,Lagos-Mainland,Nursery/Primary, ahmadiyyapryschlag@lagosschoolsonline.com, 0802 856 1972,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1939"",""Read more"")"
"AINA MEMORIAL NUR/PRY SCHOOL, Agiliti",State owned,Kosofe,Nursery/Primary, ainamemorialschl@lagosschoolsonline.com, 0802 395 9858,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1170"",""Read more"")"
"AINA SOGUNRO  MEMORIAL PRIMARY SCHOOL,  Idi Araba",State owned, Mushin,Nursery/Primary, , 0803 718 9304  or  0702 929 6556,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1541"",""Read more"")"
"AIYEDE PRIVATE SCHOOL, Gbagada",Privately owned,Kosofe,Nursery/Primary, aiyedeprivateschool13@yahoo.com," 0803 346 3814, 0806 915 3421","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12157"",""Read more"")"
"AIYEKOTO COMMUNITY NUR/PRY SCHOOL, Imude Ojo",State owned,Ojo,Nursery/Primary, aiyekotocommunity@lagosschoolsonline.com," 0706 070 4528, 0807 456 9450","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2360"",""Read more"")"
AIYEKOTO COMMUNITY PRIMARY SCHOOL,State owned,Ojo,Nursery/Primary, aiyekotocommunity@lagosschoolsonline.com, 0807 456 9450,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12404"",""Read more"")"
"AIYETORO AFRICAN CHURCH PRY SCHL, Makoko",State owned,Lagos-Mainland,Nursery/Primary, , 0808 075 2294,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1985"",""Read more"")"
"AIYETORO PRIMARY SCHOOL,  Ajegunle",State owned,Ajeromi LGA,Nursery/Primary, aiyetoropry@lagosschoolsonline.com, 0812 166 2780,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2178"",""Read more"")"
"AIYETORO PRIMARY SCHOOL, Aguda",State owned,Surulere,Nursery/Primary, Aiyetoropryschool@lagosschoolsonline.com, 0803 389 9549,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2665"",""Read more"")"
AJANGBADI JUNIOR GRAMMAR SCHOOL,State owned, Mushin,Nursery/Primary, , 08033162244,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/625"",""Read more"")"
"AJAO ESTATE NUR/PRY SCHOOL, Mafoluku Oshodi",State owned,Oshodi-Isolo,Nursery/Primary, ajaoestate@lagosschoolsonline.com," 0807 456 0384,  0803 335 5633 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2461"",""Read more"")"
"AJAO INTERNATIONAL MEMORIAL SCHOOL, Abule-Egba",Privately owned,Alimosho,Nursery/Primary, ," 0806-111-6635, 0703-737-1792","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3783"",""Read more"")"
"AJEABO PRIMARY SCHOOL,  Ilasamaja",State owned, Mushin,Nursery/Primary, , 0802 332 2430,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1542"",""Read more"")"
"AJEGUNLE PRIMARY SCHOOL,  Agege",State owned,Agege,Nursery/Primary, ajegunleage@lagosschoolsonline.com, 08023878412,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/14"",""Read more"")"
"AJEGUNLE PRIMARY SCHOOL, Awodi-Ora",State owned,Ajeromi LGA,Nursery/Primary, Ajegunlepao@lagosschoolsonline.com," 0803 820 7552,0702 575 6157","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/95"",""Read more"")"
"AJEGUNLE PRIMARY SCHOOL, Ojo-Rd",State owned,Ajeromi LGA,Nursery/Primary, ajepschojord@lagosschoolsonline.com, 08035607820 ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/127"",""Read more"")"
"AJELOGO NUR/PRY SCHOOL,  Ketu",State owned,Kosofe,Nursery/Primary, ajelogopry@lagosschoolsonline.com," 0803 348 9121, 0802 303 3231","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1159"",""Read more"")"
"AJENIFUJA PRIMARY SCHOOL,  Ilupeju",State owned, Mushin,Nursery/Primary, ajenifuja@lagosschoolsonline.com, 0803 565 9912 or  0807 456 4085,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1543"",""Read more"")"
"AJEROMI CENTRAL PRIMARY SCHOOL,  Araromi Ajegunle",State owned,Ajeromi LGA,Nursery/Primary, ajcentralsch@lagosschoolsonline.com, 08159193716,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/110"",""Read more"")"
"AJEROMI IFELODUN COMPUTER CENTRE,  Awodi-Ora",State owned,Ajeromi LGA,Nursery/Primary, , 08056035166,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1392"",""Read more"")"
"AJEROMI IFELODUN PRIMARY SCHOOL, Araromi",State owned,Ajeromi LGA,Nursery/Primary, ajeifelodun@lagosschoolsonline.com, 08035536111,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/62"",""Read more"")"
"AJEROMI NURSERY/PRIMARY SCHOOL,  Ijora",State owned,Apapa,Nursery/Primary, ajeromibadia@lagosschoolsonline.com,  0808 080 2434  or 0803 334 5560,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/226"",""Read more"")"
"AJEROMI PUBLIC PRIMARY SCHOOL, Ajegunle",State owned,Ajeromi LGA,Nursery/Primary, ajeromipub@lagosschoolsonline.com, 08055248798,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/121"",""Read more"")"
"AJIBOBA AYEDERE PRIMARY SCHOOL, Ketu",State owned,Kosofe,Nursery/Primary, ajibolapry04@lagosschoolsonline.com, 0803 356 5657,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1155"",""Read more"")"
"AJIBULU PRIMARY SCHOOL, Mafoluku",State owned,Oshodi-Isolo,Nursery/Primary, ajibprymaf@lagosschoolsonline.com," 0807 456 0385,  0802 434 3520 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2460"",""Read more"")"
"AJIDAGAN PRIMARY SCHOOL, Gbagada",State owned, Shomolu,Nursery/Primary, ajidagan@lagosschoolsonline.com," 0802-906 3274,   0807 456 5483","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2385"",""Read more"")"
"AJIRAN COMMUNITY PRIMARY SCHOOL, Ajiran",State owned,Eti-Osa,Nursery/Primary, ," 0803 306 3502, 0815 929 0213","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/674"",""Read more"")"
AJIRAN COMMUNITY SCHOOL,State owned,Lagos-Mainland,Nursery/Primary, ajiranprisch@lagosschoolsonline.com, 0803 306 3502,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12345"",""Read more"")"
AJOPRAISEHIM N/P SCHOOL,Privately owned,,Nursery/Primary, , 08034106736,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105275"",""Read more"")"
"AKANJI NURSERY/PRIMARY SCHL,  Surulere",State owned,Surulere,Nursery/Primary, akanjiprysch@lagosschoolsonline.com, 0803 335 5672,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2063"",""Read more"")"
"AKILO PRIMARY SCHOOL,  Agege",State owned,Agege,Nursery/Primary, akiloschool@lagosschoolsonline.com, 08056576153,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/15"",""Read more"")"
"AKIN JACOBS MEM. BAPTIST PRY SCHL, Surulere",State owned,Surulere,Nursery/Primary, akinjacobsprysch@lagosschoolsonline.com," 0802 715 1250, 0815 909 2225","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2030"",""Read more"")"
"AKINBAYE PRIMARY SCHOOL, Isolo",State owned,Oshodi-Isolo,Nursery/Primary, akinbayeiso@lagosschoolsonline.com, 0807 456 0387,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2707"",""Read more"")"
"AKINLADE PRIMARY SCHOOL, Okun-Mopo",State owned,Eti-Osa,Nursery/Primary, akinladepsch@lagosschoolsonline.com," 0802 831 9476,0815 929 0214","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/675"",""Read more"")"
"AKINROTOYE MEMORIAL INTERNATIONAL SCHOOL, Ayobo",Privately owned,Alimosho,Nursery/Primary, akinrotoyememorialschools@gmail.com," 0802 829 2549,   0803 305 0959,    0816 942 4315","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5524"",""Read more"")"
"AKINSEMOYIN PRIMARY SCHL, Surulere",State owned,Surulere,Nursery/Primary, akinsemoyinschool@lagosschoolsonline.com, 0815 909 2228,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2037"",""Read more"")"
"AKODU PRIMARY SCHOOL, Mushin",State owned, Mushin,Nursery/Primary, akodupryschool@lagosschoolsonline.com, 0803 726 0528,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1544"",""Read more"")"
"AKOKA PRIMARY SCHOOL, Akoka",State owned,Lagos-Mainland,Nursery/Primary, akokapry@lagosschoolsonline.com," 0803 351 4141, 0807 456 9599","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1943"",""Read more"")"
"AKOWONJO NURSERY & PRIMARY SCHOOL, Akowonjo",State owned,Alimosho,Nursery/Primary, akowonjoprysch@lagosschoolsonline," 0704-155-1626,0802 323 5886","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9237"",""Read more"")"
"AL ABRAAR SCHOOL, Gberigbe Ikorodu",Privately owned,Ikorodu,Nursery/Primary, ," 0802 758 3155,  0806 015 1348,  0805 472 7411","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49088"",""Read more"")"
"AL- WAJUD NUR/PRY SCHOOL,  Surulere",State owned,Surulere,Nursery/Primary, alwajudpry@lagosschoolsonline.com," 0815 909 2253,   0806 027 6965","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2102"",""Read more"")"
"AL-ALIYY NURSERY & PRIMARY SCHOOL, Agbado Crossing",Privately owned,Ifako/Ijaiye,Nursery/Primary, alaliyyschools2006@gmail.com," 0802 300 1589,  0803 571 2452,  0805 666 3271","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8614"",""Read more"")"
"AL-BAYAN NURSERY & PRIMARY SCHOOL, Iloro ",Privately owned,Agege,Nursery/Primary, albayan@yahoo.com," 0805 608 0854, or  0702 648 7901","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4375"",""Read more"")"
"AL-HAKEEM NURSERY/PRIMARY SCHOOL, Ajah",Privately owned,Eti-Osa,Nursery/Primary, ," 0803 320 3433, 0807 806 1850","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10144"",""Read more"")"
"AL-HALEEM INTERNATIONAL SCHOOLS, Surulere",Privately owned,Surulere,Nursery/Primary, alhaleem@yahoo.com," 0816 829 4527,  0802 136 3803,    0802 305 1147, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4908"",""Read more"")"
"AL-HANIF ISLAMIC NURSERY & PRIMARY SCHOOL, Off Folarin",Privately owned,Alimosho,Nursery/Primary, alhanif@yahoo.com," 0805 655 9978,     0802 354 3060,      01-813 2416","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4756"",""Read more"")"
"AL-HIKMAT NURSERY & PRIMARY SCHOOL, Keke",Privately owned,Agege,Nursery/Primary, abunboadey@yahoo.com," 0704 511 6770, 0704 291 2615","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3993"",""Read more"")"
"AL-QUDDUS NURSERY / BASIC SCHOOL, Ijede",Privately owned,Ikorodu,Nursery/Primary, adewaleajala22@yahoo.com," 0803 348 2492, 0803 348 6281","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4091"",""Read more"")"
"AL-WAZIR NUR. & PRY SCHOOL, Odi-Olowo Ojuwoye",Privately owned, Mushin,Nursery/Primary, layinkasadik@yahoo.com," 0704 193 7579,  0803 471 8253","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8226"",""Read more"")"
"ALAAFIA NUR & PRY SCHOOL,  Coker",State owned,Surulere,Nursery/Primary, alafiaprysch@lagosschoolsonline.com," 0815 909 2259,  0803 313 1676","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2076"",""Read more"")"
"ALABA NUR/PRY SCHOOL 2,  Alaba-Oro",State owned,Ajeromi LGA,Nursery/Primary, alabaprysch2@lagosschoolsonline.com, 07059332263,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2250"",""Read more"")"
"ALABA PRIMARY SCHOOL I,  Alaba-Oro",State owned,Ajeromi LGA,Nursery/Primary, alabaschool1@lagosschoolsonline.com,  08038634629,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/63"",""Read more"")"
"ALABA PRIMARY SCHOOL, Mushin",State owned, Mushin,Nursery/Primary, alabanurandpryschl@lagosschoolsonline.com," 0803 332 3899, 0807 456 4092","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1545"",""Read more"")"
"ALAFIA OLUWA PRIMARY SCHOOL, Mushin",State owned, Mushin,Nursery/Primary, alafiaoluwa@lagosschoolsonline.com, 0802 401 4051,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1546"",""Read more"")"
"ALAGUNTAN PRIMARY SCHOOL,   Iyana-ipaja",State owned,Alimosho,Nursery/Primary, alaguntanprysch@lagosschoolsonline, 0807-456-0247,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/138"",""Read more"")"
"ALAKARA ANGLICAN PRIMARY SCHOOL, Idi-Oro",State owned, Mushin,Nursery/Primary, alakara@lagosschoolsonline.com, 0810 606 5574,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1547"",""Read more"")"
"ALAKE NUR & PRY SCHOOL, Ijede",Privately owned,Ikorodu,Nursery/Primary, alakeschools@yahoo.com," 0805 636 8036, 0802 376 4208, 0803 945 9557","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12573"",""Read more"")"
"ALAKOTO NURSERY/PRIMARY SCHOOL, Olodi-Apapa",State owned,Ajeromi LGA,Nursery/Primary, alakotoschl@lagosschoolsonline.com, 08034468851,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/65"",""Read more"")"
"ALAPERE NURSERY & PRIMARY SCHOOL, Ketu",State owned,Kosofe,Nursery/Primary, alapereprysc@lagosschoolsonline.com, 0802 532 0144,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9437"",""Read more"")"
"ALAPERE PRIMARY SCHOOL,  Ketu",State owned,Kosofe,Nursery/Primary, , 0803 376 2592,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1180"",""Read more"")"
"ALART INTERNATIONAL SCHOOL, Mende",Privately owned,Kosofe,Nursery/Primary, alertinternationalschool@yahoo.com, 0803-400-5896,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3750"",""Read more"")"
"ALAWORO PRIMARY SCHOOL, Ojo",State owned,Ojo,Nursery/Primary, alaworo4real@lagosschoolsonline.com, 0807 456 9442,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2377"",""Read more"")"
"ALBRIGHT NURSERY & PRIMARY SCHOOL, Igbogbo ",Privately owned,Ikorodu,Nursery/Primary, , 0805 200 7457 ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4645"",""Read more"")"
"ALIMOSHO PRIMARY SCHOOL,  Alaguntan",State owned,Alimosho,Nursery/Primary, alimoshoprysch@lagosschoolsonline," 0807-456-0092,0803 397 2930","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/139"",""Read more"")"
"ALISON NUR & PRY SCHOOL, Mushin",Privately owned, Mushin,Nursery/Primary, alisonskool@yahoo.com," 0803 523 6324, 0805 282 6895","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6931"",""Read more"")"
"ALISON NURSERY & PRIMARY SCHOOL, Itire",Privately owned,Surulere,Nursery/Primary, alisonskool@yahoo.com," 0803 523 6324,     0805 282 6895","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4383"",""Read more"")"
"ALL JOY MONTESSORI SCHOOL, Orisunbare, Idimu.",Privately owned,Alimosho,Nursery/Primary, alljoyschool@yahoo.com," 0805 535 2553, 0802 978 2836","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5044"",""Read more"")"
"ALL SAINTS ANG PRY SCHOOL, Yaba",State owned,Lagos-Mainland,Nursery/Primary, allsaintsschl@lagosschoolsonline.com, 0803 660 3094,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1969"",""Read more"")"
"ALL SAINTS PRIMARY SCHOOL, Egbatedo, Iju Road",State owned,Ifako/Ijaiye,Nursery/Primary, allsaintspryschool@lagosschoolsonline.com, 0802-527-0898,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2646"",""Read more"")"
"ALLEN HIGH SCHOOL, Mile 12",Privately owned,Kosofe,Nursery/Primary, allengroupofschools@gmail.com," 0803 573 7291, 0805 617 6160,   0805 434 3818","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7870"",""Read more"")"
"ALPHA COVENANT HERITAGE SCHOOL, Awoyaya",Privately owned, Ibeju-Lekki,Nursery/Primary, info@achoo.com, 0809 240 7434,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64270"",""Read more"")"
"ALPHA REHOBOTH MONTESSORI SCHOOL, Egbeda",Privately owned,Alimosho,Nursery/Primary," info@alpharebobothschool.com, rotimon@yahoo.com"," 0802 696 7080,  0805 781 1664,   0803 044 0280,     0704 419 4828","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4179"",""Read more"")"
"ALPHA-PLUS NURSERY & PRIMARY SCHOOL, Ketu",Privately owned,Kosofe,Nursery/Primary, ," 0808 436 5787,   0802 805 2660,  0702 856 0556    ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3880"",""Read more"")"
"ALTITUDE INTERNATIONAL SCHOOL, Ago-Okota",Privately owned,Oshodi-Isolo,Nursery/Primary, altitudeschool@yahoo.com," 0802 351 6166,   0806 606 0888,    0702-308-6713","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3467"",""Read more"")"
ALUBARIKA PRIMARY SCHOOL,State owned, Shomolu,Nursery/Primary, , 08023528022,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/262"",""Read more"")"
"ALUBARIKA PRIMARY SCHOOL, Bariga",State owned, Shomolu,Nursery/Primary, alubarikapryschool@lagosschoolsonline.com, 0803 335 4736,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2454"",""Read more"")"
"AMAZING FOUNDATION SCHOOL, Mushin",Privately owned, Mushin,Nursery/Primary, amazingfoundationsch@yahoo.com," 0803 302 5243,      0806 492 9639","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5125"",""Read more"")"
"AMAZING GRACE NURSERY & PRIMARY SCHOOL,  Ketu",Privately owned,Kosofe,Nursery/Primary, ," 0807 482 5865,   0803 323 1994  &   0806 091 1950","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3878"",""Read more"")"
AMBER VILLE SCHOOL,Privately owned,,Nursery/Primary, , 0817 136 0633,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105293"",""Read more"")"
"AMIKANLE COMMUNITY PRY SCHOOL, Amikanle",State owned,Alimosho,Nursery/Primary, , 0802 905 0794,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/180"",""Read more"")"
"AMOSUN PRIMARY SCHOOL,  Agege",State owned,Agege,Nursery/Primary, amosunagege@lagosschoolsonline.com, 08035655358,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/16"",""Read more"")"
"AMPLIFIED NURSERY PRIMARY SCHOOL, Ketu",Privately owned,Kosofe,Nursery/Primary, kweluodita@gmail.com, 0806 302 7727    234- 454 2914  234- 454 2915,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105514"",""Read more"")"
"AMUWO ODOFIN MUSLIM COMMUNITY PRIVATE SCHOOL, Mile 2",Privately owned,Amuwo-Odofin,Nursery/Primary, aomcps@gmail.com, 0808 033 5498,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10621"",""Read more"")"
"AMUWO ODOFIN PRIMARY SCHOOL,  Mile 2",State owned,Amuwo-Odofin,Nursery/Primary, amuwoodofinsch@lagosschoolsonline.com," 0802 327 6160, 0815 919 3944,  0802 306 0767","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/189"",""Read more"")"
"AMVILLE SCHOOL, Ilupeju",Privately owned, Mushin,Nursery/Primary, headteacher4amville@gmail.com," 0809 631 1552,  0809 631 1607, 0802 268 4553, 0808 800 8008","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9337"",""Read more"")"
"AN-NI MAH INTERNATIONAL SCHOOL, Lekki",Privately owned,Eti-Osa,Nursery/Primary, , 0805 934 8073,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11809"",""Read more"")"
"ANASTASIA INTERNATIONAL NUR/PRY SCHOOL, New Oko-Oba",Privately owned,Ifako/Ijaiye,Nursery/Primary, anastintschl@yahoo.com," 0803 306 1647,   0803 628 1941","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7224"",""Read more"")"
"ANDUS D GREAT PRIMARY SCHOOL, Igbogbo",Privately owned,Ikorodu,Nursery/Primary, info@andusdgreatschools.com.ng," 0809 933 3304,   0809 933 3310","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64257"",""Read more"")"
"ANGELA NURSERY & PRIMARY SCHOOL, Aguda",Privately owned,Surulere,Nursery/Primary, ," 0806 039 9906,  0802 356 9596","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4297"",""Read more"")"
"ANGELA NURSERY & PRIMARY SCHOOL, Ira-Quarters",Privately owned,Ojo,Nursery/Primary, ," 0802-907-7973, 0802-356-9596","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3653"",""Read more"")"
"ANGLICAN GIRLS NURSERY  PRIMARY SCHOOL, Surulere",State owned,Surulere,Nursery/Primary, anglican1960@lagosschoolsonline.com, 0815 909 2220,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2548"",""Read more"")"
"ANGLICAN GIRLS SEMINARY SCHOOL,   C.M.S               ",State owned,Lagos-Island,Nursery/Primary, anglicangirlsseminary@yahoo.com," 0803 715 1579,  0807 457 3316","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1191"",""Read more"")"
